dataset_name,algorithm_name,cross_validation,hyper_parameters_values,accuracy,tpr,fpr,precision,auc,pr_curve,training_time,inference_time
abalon.csv,BoostingBasedPruning,1,"{'T': 90, 'U': 90}",0.581339713,0.581339713,0.209330144,0.581339713,0.809246297,0.693132103,16.77727318,0.558323267
abalon.csv,BoostingBasedPruning,2,"{'T': 90, 'U': 90}",0.645933014,0.645933014,0.177033493,0.645933014,0.848300749,0.748983069,16.9893446,0.571311376
abalon.csv,BoostingBasedPruning,3,"{'T': 90, 'U': 90}",0.619617225,0.619617225,0.190191388,0.619617225,0.80605555,0.709803589,16.99921083,0.55123174
abalon.csv,BoostingBasedPruning,4,"{'T': 90, 'U': 90}",0.653110048,0.653110048,0.173444976,0.653110048,0.839886049,0.737131404,16.79268265,0.557472261
abalon.csv,BoostingBasedPruning,5,"{'T': 90, 'U': 90}",0.598086124,0.598086124,0.200956938,0.598086124,0.811984902,0.701891582,16.788836,0.554427005
abalon.csv,BoostingBasedPruning,6,"{'T': 90, 'U': 90}",0.622009569,0.622009569,0.188995215,0.622009569,0.816137165,0.70307937,16.73123837,0.563809746
abalon.csv,BoostingBasedPruning,7,"{'T': 90, 'U': 90}",0.681818182,0.681818182,0.159090909,0.681818182,0.864190094,0.781173327,16.86836672,0.561369093
abalon.csv,BoostingBasedPruning,8,"{'T': 90, 'U': 90}",0.597122302,0.597122302,0.201438849,0.597122302,0.807020571,0.696471135,16.80354238,0.567409918
abalon.csv,BoostingBasedPruning,9,"{'T': 90, 'U': 90}",0.637889688,0.637889688,0.181055156,0.637889688,0.834388604,0.724947445,16.83619738,0.552346095
abalon.csv,BoostingBasedPruning,10,"{'T': 90, 'U': 90}",0.642685851,0.642685851,0.178657074,0.642685851,0.838261765,0.73150306,16.78646588,0.707848752
acute-inflammation.csv,BoostingBasedPruning,1,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.325695038,4.157205423
acute-inflammation.csv,BoostingBasedPruning,2,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.313547134,3.781517347
acute-inflammation.csv,BoostingBasedPruning,3,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.320421934,3.929098447
acute-inflammation.csv,BoostingBasedPruning,4,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.321818113,3.943741322
acute-inflammation.csv,BoostingBasedPruning,5,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.313500881,3.852367401
acute-inflammation.csv,BoostingBasedPruning,6,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.316742659,3.851334254
acute-inflammation.csv,BoostingBasedPruning,7,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.350615978,3.887116909
acute-inflammation.csv,BoostingBasedPruning,8,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.318398714,3.854691982
acute-inflammation.csv,BoostingBasedPruning,9,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.322844982,3.904660543
acute-inflammation.csv,BoostingBasedPruning,10,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.31706357,4.252374172
acute-nephritis.csv,BoostingBasedPruning,1,"{'T': 30, 'U': 70}",0.666666667,0.666666667,0.333333333,0.666666667,1,1,0.313787937,3.864129384
acute-nephritis.csv,BoostingBasedPruning,2,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.307852268,3.844122092
acute-nephritis.csv,BoostingBasedPruning,3,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.30856657,3.854791323
acute-nephritis.csv,BoostingBasedPruning,4,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.327745438,3.89333566
acute-nephritis.csv,BoostingBasedPruning,5,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.314771891,3.988424937
acute-nephritis.csv,BoostingBasedPruning,6,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.322864294,4.102309545
acute-nephritis.csv,BoostingBasedPruning,7,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.324023247,3.78159682
acute-nephritis.csv,BoostingBasedPruning,8,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.308855534,3.816505273
acute-nephritis.csv,BoostingBasedPruning,9,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.317136288,3.894090652
acute-nephritis.csv,BoostingBasedPruning,10,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.333003044,3.827412923
analcatdata_asbestos.csv,BoostingBasedPruning,1,"{'T': 30, 'U': 10}",0.888888889,0.888888889,0.111111111,0.888888889,1,1,0.108938217,0.436650382
analcatdata_asbestos.csv,BoostingBasedPruning,2,"{'T': 30, 'U': 10}",0.777777778,0.777777778,0.222222222,0.777777778,0.775,0.861111111,0.101089478,0.357972251
analcatdata_asbestos.csv,BoostingBasedPruning,3,"{'T': 30, 'U': 10}",0.777777778,0.777777778,0.222222222,0.777777778,0.875,0.7625,0.103792429,0.531593959
analcatdata_asbestos.csv,BoostingBasedPruning,4,"{'T': 30, 'U': 10}",1,1,0,1,1,1,0.114832401,0.426799059
analcatdata_asbestos.csv,BoostingBasedPruning,5,"{'T': 30, 'U': 10}",0.75,0.75,0.25,0.75,0.75,0.6875,0.105955124,0.398188829
analcatdata_asbestos.csv,BoostingBasedPruning,6,"{'T': 30, 'U': 10}",0.875,0.875,0.125,0.875,0.84375,0.7625,0.104584217,0.611484051
analcatdata_asbestos.csv,BoostingBasedPruning,7,"{'T': 30, 'U': 10}",0.5,0.5,0.5,0.5,0.53125,0.625,0.120103836,0.390231609
analcatdata_asbestos.csv,BoostingBasedPruning,8,"{'T': 30, 'U': 10}",0.875,0.875,0.125,0.875,1,1,0.10506773,0.403285027
analcatdata_asbestos.csv,BoostingBasedPruning,9,"{'T': 30, 'U': 10}",0.875,0.875,0.125,0.875,0.9,0.75,0.106222153,0.394642353
analcatdata_asbestos.csv,BoostingBasedPruning,10,"{'T': 30, 'U': 10}",0.5,0.5,0.5,0.5,0.6,0.458333333,0.105062008,0.406771898
analcatdata_boxing1.csv,BoostingBasedPruning,1,"{'T': 50, 'U': 70}",0.833333333,0.833333333,0.166666667,0.833333333,0.5625,0.717063492,0.702712536,6.394902865
analcatdata_boxing1.csv,BoostingBasedPruning,2,"{'T': 50, 'U': 70}",0.666666667,0.666666667,0.333333333,0.666666667,0.84375,0.928125,0.699913025,6.420691808
analcatdata_boxing1.csv,BoostingBasedPruning,3,"{'T': 50, 'U': 70}",0.75,0.75,0.25,0.75,0.5,0.669543651,0.69333005,6.356974443
analcatdata_boxing1.csv,BoostingBasedPruning,4,"{'T': 50, 'U': 70}",0.916666667,0.916666667,0.083333333,0.916666667,0.984375,0.986111111,0.695161343,6.283064683
analcatdata_boxing1.csv,BoostingBasedPruning,5,"{'T': 50, 'U': 70}",1,1,0,1,1,1,0.712632656,6.330966949
analcatdata_boxing1.csv,BoostingBasedPruning,6,"{'T': 50, 'U': 70}",0.5,0.5,0.5,0.5,0.5,0.674242424,0.689629316,6.263752778
analcatdata_boxing1.csv,BoostingBasedPruning,7,"{'T': 50, 'U': 70}",0.666666667,0.666666667,0.333333333,0.666666667,0.84375,0.932426948,0.701835632,6.272931894
analcatdata_boxing1.csv,BoostingBasedPruning,8,"{'T': 50, 'U': 70}",0.75,0.75,0.25,0.75,0.703125,0.83859127,0.695008516,6.241659323
